,quotation
0,"We don't discuss suspect cases,"
1,Just placing it on the backs of the contract growers is the not the fairest way to move forward because they are not the cause of the problem and they are the ones totally responsible for cleaning up the problem.
2,"And what every gay person has in common with every excluded person of every kind is knowing what it's like to see a wall between you and the rest of the world, and wonder what it's like on the other side. The struggle for equality for the LGBT community on everything from workplace discrimination to trans servicemembers' dignity doesn't compete with the other struggles of Americans yearning to get to another side of an ugly wall. It reinforces those struggles, and obligates all of us to do everything we can to list one another up. We have to be for each other, no matter what."
3,"We understand you're anxious to get home. That's a natural response,"
4,very worthy. You've heard the price tag on this particular one. I don't know that we have $10 million in a drawer somewhere...
5,"It's stabilized, and now it needs repentance and reconciliation efforts so people can't go back in and ignite the old hatreds that have been so flammable in the past,"
6,"When you have a president who clearly thinks someone like me should `go back,' the message that he's sending is not for me -- [ it's ] to every single person who shares an identity with me, and he's telling them that this is not their country,"
7,"Learning the inner workings of the state legislature is a great tool for students. The page program offers this to students around the state. It is an excellent way for students from around the state to learn about our legislature,"
8,long from being settled.
9,"I would definitely oppose this example. There's too much chance for foul play,"
10,"As we work to better tell our true story, I encourage all Virginians to pause and recognize the depth of contributions Black Americans have made to the fabric of our Commonwealth and nation. Let's not just do this today, tomorrow, or one month out of the year -- but every day. Black history is American history."
11,"The President wants to get it over with and then the next day, he wants to call 20 witnesses. It's just frustration,"
12,The kind of people that are supported by the element that you'd just been referring are specialists in defeating Republican candidates in November. And that's what these inner-party skirmishes about.
13,Perhaps Ocasio-Cortez doesn't quite understand the relationship between capitalism and its corporate parties.
14,"If I had one of these simple bare-bones plans in May of 2016, by the time I was diagnosed with multiple sclerosis in June of 2016, I would not have health care,"
15,"Whether they stay here or choose to go somewhere else, we'll have their contact info. They can also find out who else has checked in here in case they are looking for someone in particular."
16,"Police are doing all they can to get to the bottom of this,"
17,"One of the biggest complaints we get are about private facilities targeting people across country, bringing them here, then tossing them out when the insurance benefits run out. That's not happening when government funding is involved. They're very distinct and different entities, which is why my office is pursuing the private side. We have people who are ripping off the system."
18,"We need to wait and see. Let's talk about boxing,"
19,"If I had another $50,000 to $100,000 to pound on broadcast TV, I think we could've easily turned 61 votes per county,"
20,"the proposals I've seen only allow `investments' of existing large cap equities. That means those stocks change hands from today's holders to the new buyers. So all that happens is that portfolios shift within the economy, with no new investment."
21,"While presiding, I saw injustices to the defendant with burdened defense attorneys who didn't care about another person of color going to Rikers Island, the clients suffered."
22,"I turned Candidate Trump down, knowing it wasn't the right thing for me or my family."
23,I think we've focused too much only on satisfying the Martinez-Yazzie lawsuit.
24,"Obviously I don't want Hillary to win the presidency and I think if Hillary wins Florida, she'll win the presidency,"
25,"The City of Industry's unwillingness to admit certain failures and to provide documentation to prove proper use of public dollars is deeply disturbing,"
26,"No more young people's lives sacrificed to the old excuse `We just don't have the money,"
27,And so I'll let people reach their own conclusion there.
28,"Their internal investigation, if that's what you want to call it, doesn't seem to have been particularly in-depth,"
29,This time really is different. This is almost a re-founding moment in American life.
30,"The time has come to sew Puerto Rico's star into our national flag. As president, when voters there are ready to begin the stitching, I'll bring Congress and the whole country together to get it done."
31,"Ethanol production has created good jobs, generated tax revenue and helped our nation improve its energy security."
32,"If that candidate pursued, advocated for, and enacted racist policies, like stop and frisk, which caused poor communities of color in his city to live in fear, we will not defeat Donald Trump."
33,"It's unfortunate that the Legislature wants to muzzle its fellow citizens,"
34,"Iran is really not someone that we depend on for oil. The Middle East, in fact, we don't depend on for oil anymore. And so no, I think it'd be a mistake to get involved in another shooting war."
35,"This is a personal problem,"
36,"We should be preventing from putting guns in the hands of people that shouldn't have them. That's pretty straightforward and simple,"
37,"I've got good support,"
38,"No one experiencing a serious medical issue should fear being hit with a huge bill because someone didn't tell them a doctor or a lab was out of network,"
39,Our security depends on Iran not having a nuclear (weapon).
40,were terribly saddened to learn that Deputy Ishmael was shot and killed this morning while courageously serving and protecting the people of El Dorado County.
41,"Give (Trump) credit, he did some, but... he should have maintained that strong stance against this kind of hatred."
42,"For weeks, the president, his counsel in the White House, and his allies in Congress have made the baseless claim that the House of Representatives' impeachment inquiry `lacks the necessary authorization for a valid impeachment proceeding.' They argue that, because the House has not taken a vote, they may simply pretend the impeachment inquiry does not exist,"
43,"Even @ FLOTUS can't leave Corpus Christi without @ Whataburger, a hometown classic!"
44,"The piece of legislation we're voting on today, the Born-Alive Abortion Survivors Protection Act, is not about abortion. The bill we're voting on doesn't change anyone's access to abortion. It doesn't have anything to do with Roe v. Wade. It is about babies that are already born."
