;
;
;
;
;
;
;
;
abdabs ;Noun. Terror, the frights, nerves. Often heard as the screaming abdabs. Also very occasionally 'habdabs'. [1940s]
ablute ;"Verb. To wash oneself. E.g.""She's in the bathroom abluting."" {Informal}"
absobloodylutely ;Adv. Absolutely.
Abysinnia!;"Exclam. Goodbye! A jocular and intentional mispronunciation of ""I'll be seeing you!"""
accident ;"Noun. An act of incontinence, especially in children. E.g.""Stop the car at the next services, Lucy's had an accident."" {Informal}"
accidentally-on-purpose ;Phrs. Seemingly accidental but with veiled malice or harm.
AC/DC;Adj. Bisexual.
ace (!) ;Adj. Excellent, wonderful.
;Exclam. Excellent!
acid ;Noun. The drug LSD. Lysergic acid diethylamide. [Orig. U.S. 1960s]
ackers ;Noun. Money. From the Egyptian akka.
action man ;Noun. A man who considered strong, active and brave, who generally participates in macho activities.
Adam and Eve ;"Verb. Believe. Cockney rhyming slang. E.g.""I don't Adam and Eve it, it's not true!"""
Adam's ale;Noun. Water.
adorkable ;Adj. Socially unfashionable or awkward but likeable and appealing. A combination of the words 'dork' and adorable. Expression perhaps popularized, if not invented, for the titular book by Sarra Manning. [Early 2010's?]
advert ;Noun. An advertisement. {Informal}
aerated ;Adj. Over-excited. Becoming obsolete, although still heard used by older generations. Also as aeriated.
afters;Noun. 1. Dessert, pudding, cake. {Informal}
;"2. In sport, frequently football, a confrontation between players after a foul or incident. E.g.""I'm not surprised he's gone in for some afters, that foul could have broken his leg."" {Informal}"
afto;Noun. Afternoon. [North-west use]
afty;"Noun. Afternoon. E.g.""Are you going to watch the game this afty?"" [North-west use]"
aggro ;Noun. Aggressive troublemaking, violence, aggression. Abb. of aggravation.
aggy ;"Adj. Annoyed, irritated, aggitated. Abb. of aggravated. E.g.""My mum's getting a bit aggy because my brother won't tidy his bedroom."""
agricultural;"Adj. Clumsy, unsophisticated, especially in a sporting context. E.g.""That was a very agricultural tackle by the defender, but it did the job."" {Informal}"
agony aunt;Noun. A woman who, in response to reader's letters, provides advice on personal and relationship problems via a newspaper or magazine column. Rarely, also agony uncle. {Informal}
air biscuit;Noun. An expulsion of air from the anus, a fart. See 'float an air biscuit'.
airhead;Noun. A stupid person. [Orig. U.S.]
airlocked;Adj. Drunk, intoxicated. [N. Ireland use]
airy-fairy ;Adj. Lacking in strength, insubstantial. {Informal}
air guitar ;Noun. An imaginary guitar played by rock music fans whilst listening to their favourite tunes.
aks;"Verb. To ask. E.g.""I aksed him to move his car from the driveway."" [dialect]"
Alan Whickers;Noun. Knickers, underwear. Rhyming slang, often shortened to Alans. Alan Whicker was a popular British journalist and TV presenter from the 1950s through to the turn of the century.
alcopop;Noun. Sweet, ready-mixed fruit drinks containing alcohol. Cf. 'tart fuel'. {Informal}
aled (up) ;Adj. Drunk, intoxicated by alcohol, usually beer (ale).
alkie ;Noun. An alcoholic. Also as alky.
all fingers and thumbs;"Phrs. Lacking manual dexterity, clumsy. E.g.""Can you help me thread that needle? I'm all fingers and thumbs."" {Informal}"
all fur coat (and no knickers);Phrs. Of a woman, all superficial appearance and no real substance beneath. Derog.
all mod cons;Noun. All the fixtures and fittings necessary and expected - an abb. of all modern conveniences. {Informal}
